ncalls,tottime,percall,cumtime,percall,filename:lineno(function),,,,,,,
618,0,0,0.001,0,_inspect.py:15(ismethod),,,,,,,
1,0,0,0.001,0.001,_parseaddr.py:7(<module>),,,,,,,
1,0,0,0.001,0.001,_pocketfft.py:29(<module>),,,,,,,
1,0,0,0.001,0.001,_policybase.py:4(<module>),,,,,,,
1,0,0,0.001,0.001,_type_aliases.py:24(<module>),,,,,,,
10,0,0,0.001,0,abc.py:151(register),,,,,,,
25/11,0,0,0.001,0,abc.py:194(__subclasscheck__),,,,,,,
1,0,0,0.001,0.001,api.py:11(<module>),,,,,,,
1,0,0,0.001,0.001,arrayprint.py:5(<module>),,,,,,,
1,0,0,0.001,0.001,bz2.py:5(<module>),,,,,,,
1,0,0,0.001,0.001,charset.py:6(<module>),,,,,,,
1,0,0,0.001,0.001,comments.py:3(<module>),,,,,,,
5,0,0,0.001,0,context.py:130(Value),,,,,,,
1,0,0,0.001,0.001,context.py:210(_Popen),,,,,,,
1,0,0,0.001,0.001,context.py:264(_Popen),,,,,,,
6,0,0,0.001,0,context.py:68(RLock),,,,,,,
2,0,0,0.001,0,context.py:88(Event),,,,,,,
1,0,0,0.001,0.001,core.py:1(<module>),,,,,,,
1,0,0,0.001,0.001,datetime.py:5(<module>),,,,,,,
1,0,0,0.001,0.001,decimal.py:2(<module>),,,,,,,
1,0,0,0.001,0.001,decoder.py:2(<module>),,,,,,,
1,0,0,0.001,0.001,difflib.py:27(<module>),,,,,,,
169,0,0,0.001,0,enum.py:51(__setitem__),,,,,,,
6,0,0,0.001,0,enum.py:547(<dictcomp>),,,,,,,
1,0,0,0.001,0.001,error.py:3(<module>),,,,,,,
1,0,0,0.001,0.001,fields.py:1(<module>),,,,,,,
1,0,0,0.001,0.001,filepost.py:1(<module>),,,,,,,
2,0,0,0.001,0,fnmatch.py:48(filter),,,,,,,
6,0,0,0.001,0,getlimits.py:37(__init__),,,,,,,
1,0,0,0.001,0.001,getlimits.py:96(_register_known_types),,,,,,,
39/8,0,0,0.001,0,glob.py:39(_iglob),,,,,,,
2,0,0,0.001,0,glob.py:78(glob1),,,,,,,
2,0,0,0.001,0.001,glob.py:9(glob),,,,,,,
1,0,0,0.001,0.001,header.py:5(<module>),,,,,,,
1,0,0,0.001,0.001,heap.py:10(<module>),,,,,,,
