CMDLINE /usr/bin/python3 main.py
MEM 239.207031 1578323622.2082
MEM 239.207031 1578323622.3337
MEM 239.207031 1578323622.4497
MEM 239.207031 1578323622.5605
MEM 239.207031 1578323622.6719
MEM 239.207031 1578323622.7835
MEM 239.207031 1578323622.8929
MEM 239.207031 1578323623.0123
MEM 239.207031 1578323623.1314
MEM 239.207031 1578323623.2631
MEM 239.207031 1578323623.3777
MEM 239.207031 1578323623.4882
MEM 239.207031 1578323623.5986
MEM 239.207031 1578323623.7075
MEM 239.207031 1578323623.8278
MEM 239.207031 1578323623.9362
MEM 239.207031 1578323624.0490
MEM 239.207031 1578323624.1588
MEM 239.207031 1578323624.2703
MEM 239.207031 1578323624.3795
MEM 239.207031 1578323624.4922
MEM 239.207031 1578323624.6044
MEM 239.207031 1578323624.7136
MEM 239.207031 1578323624.8249
MEM 239.207031 1578323624.9357
MEM 239.207031 1578323625.0485
MEM 239.207031 1578323625.1601
MEM 239.207031 1578323625.2730
MEM 239.207031 1578323625.3870
MEM 239.207031 1578323625.5010
MEM 239.207031 1578323625.6186
MEM 239.207031 1578323625.7271
MEM 239.207031 1578323625.8412
MEM 239.207031 1578323625.9544
MEM 239.207031 1578323626.0747
MEM 239.207031 1578323626.2075
MEM 239.207031 1578323626.3307
MEM 239.207031 1578323626.4497
MEM 239.207031 1578323626.5613
MEM 239.207031 1578323626.6791
MEM 239.207031 1578323626.7976
MEM 239.207031 1578323626.9156
MEM 239.207031 1578323627.0295
MEM 239.207031 1578323627.1422
MEM 239.207031 1578323627.2589
MEM 239.207031 1578323627.3679
MEM 239.207031 1578323627.4792
MEM 239.207031 1578323627.5957
MEM 239.207031 1578323627.7192
MEM 239.207031 1578323627.8459
MEM 239.207031 1578323627.9680
MEM 239.207031 1578323628.0816
MEM 239.207031 1578323628.2076
MEM 239.207031 1578323628.3274
MEM 239.207031 1578323628.4364
MEM 239.207031 1578323628.5543
MEM 239.207031 1578323628.6720
MEM 239.207031 1578323628.7881
MEM 239.207031 1578323628.8996
MEM 239.207031 1578323629.0185
MEM 239.207031 1578323629.1389
MEM 239.207031 1578323629.2583
MEM 239.207031 1578323629.3796
MEM 239.207031 1578323629.4995
MEM 239.207031 1578323629.6190
MEM 239.207031 1578323629.7351
MEM 239.207031 1578323629.8447
MEM 239.207031 1578323629.9534
MEM 239.207031 1578323630.0623
MEM 239.207031 1578323630.1882
MEM 239.207031 1578323630.3128
MEM 239.207031 1578323630.4250
MEM 239.207031 1578323630.5352
MEM 239.207031 1578323630.6483
MEM 239.207031 1578323630.7668
MEM 239.207031 1578323630.8778
MEM 239.207031 1578323630.9959
MEM 239.207031 1578323631.1169
MEM 239.207031 1578323631.2302
MEM 239.207031 1578323631.3434
MEM 239.207031 1578323631.4588
MEM 239.207031 1578323631.5714
MEM 239.207031 1578323631.7008
MEM 239.207031 1578323631.8253
MEM 239.207031 1578323631.9394
MEM 239.207031 1578323632.0542
MEM 239.207031 1578323632.1687
MEM 239.207031 1578323632.2836
MEM 239.207031 1578323632.4005
MEM 239.207031 1578323632.5098
MEM 237.882812 1578323632.6235
MEM 237.882812 1578323632.7353
MEM 237.972656 1578323632.8644
MEM 237.578125 1578323632.9925
MEM 95.304688 1578323633.1134
